t,x,y,z,qw,qx,qy,qz,com_x,com_y,com_z,com_ref_z,tilt,com_ref_y,n_stance,swing_z,trunk_tilt,foot_z,foot_vz,acc_ref_z,e_lin_z,acom_x,acom_y,acom_z,arp_r,arp_p,degraded,cop_lx,cop_ly,slip_l,slip_r,patch_lx,patch_ly,fqp_l_x,fqp_l_y,fqp_l_z,fmj_l_x,fmj_l_y,fmj_l_z,fqp_r_x,fqp_r_y,fqp_r_z,fmj_r_x,fmj_r_y,fmj_r_z,cop_qp_l_x,cop_qp_l_y,fz_qp_l,cop_mj_l_x,cop_mj_l_y,fz_mj_l,cop_qp_r_x,cop_qp_r_y,fz_qp_r,cop_mj_r_x,cop_mj_r_y,fz_mj_r,left_hip_yaw_joint,left_hip_roll_joint,left_hip_pitch_joint,left_knee_joint,left_ankle_pitch_joint,left_ankle_roll_joint,right_hip_yaw_joint,right_hip_roll_joint,right_hip_pitch_joint,right_knee_joint,right_ankle_pitch_joint,right_ankle_roll_joint,left_shoulder_roll_joint,left_shoulder_pitch_joint,left_elbow_joint,right_shoulder_roll_joint,right_shoulder_pitch_joint,right_elbow_joint,tau_left_hip_yaw_joint,tau_left_hip_roll_joint,tau_left_hip_pitch_joint,tau_left_knee_joint,tau_left_ankle_pitch_joint,tau_left_ankle_roll_joint,tau_right_hip_yaw_joint,tau_right_hip_roll_joint,tau_right_hip_pitch_joint,tau_right_knee_joint,tau_right_ankle_pitch_joint,tau_right_ankle_roll_joint,tau_left_shoulder_roll_joint,tau_left_shoulder_pitch_joint,tau_left_elbow_joint,tau_right_shoulder_roll_joint,tau_right_shoulder_pitch_joint,tau_right_elbow_joint,lim_left_hip_yaw_joint,lim_left_hip_roll_joint,lim_left_hip_pitch_joint,lim_left_knee_joint,lim_left_ankle_pitch_joint,lim_left_ankle_roll_joint,lim_right_hip_yaw_joint,lim_right_hip_roll_joint,lim_right_hip_pitch_joint,lim_right_knee_joint,lim_right_ankle_pitch_joint,lim_right_ankle_roll_joint,lim_left_shoulder_roll_joint,lim_left_shoulder_pitch_joint,lim_left_elbow_joint,lim_right_shoulder_roll_joint,lim_right_shoulder_pitch_joint,lim_right_elbow_joint,xi_x,xi_y,xi_ref_x,xi_ref_y,zmp_ref_x,zmp_ref_y,zmp_cmd_x,zmp_cmd_y,zmp_clamp,dcm_err,support,step,share_l,share_r,swing_tgt_x,swing_tgt_y,swing_tgt_z,ankle_roll_l,ankle_roll_r,push_fx,push_fy
0.0000,0.00029,0.00001,0.48038,1.00000,-0.00001,-0.00099,-0.00002,0.00627,-0.00000,0.32501,0.32501,0.00248,0.00458,2,0.03449,0.00248,0.034467,0.02076,-0.3208,0.0000,-0.2021,0.4143,-1.1809,-0.0000,-4.1825,0,0.04900,0.01900,0.1035,0.1035,0.003611,0.031347,-0.7550,1.0956,24.4602,-0.2326,1.8907,30.6919,-0.5260,1.5304,30.2308,-0.2326,-1.8907,30.6919,-0.010847,-0.019002,24.4525,-0.000589,-0.018928,30.6919,0.049002,-0.010410,30.2379,-0.000589,0.018928,30.6919,0.00165,0.00028,-0.34858,0.70679,-0.35490,0.00550,-0.00210,-0.00010,-0.34926,0.70724,-0.35375,-0.00491,-0.00260,0.00319,-0.01494,0.00264,0.00314,-0.01494,1.03298,0.13881,-0.65311,-1.04778,-0.34289,0.42224,-1.02078,-0.15613,1.17758,0.53711,1.42179,0.26833,0.18466,0.11101,-0.47085,-0.13126,0.11101,-0.47085,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007112,-0.000000,0.004187,0.004575,0.004187,-0.000000,0.012963,-0.013726,0.000000,0.005431,0.000000,0.000000,0.363494,0.636506,0.000000,0.000000,0.000000,0.005254,-0.005254,0.000000,0.000000
0.0050,0.00034,0.00003,0.48044,1.00000,-0.00003,-0.00081,-0.00004,0.00629,0.00001,0.32509,0.32501,0.00198,0.00470,2,0.03465,0.00198,0.034605,0.03149,-0.5220,-0.0001,-0.2247,0.3695,-1.3722,0.3936,-3.0438,0,0.04900,0.01900,0.1167,0.1553,-0.002716,0.033714,-0.4756,1.3558,24.3008,-1.2997,1.4185,27.4915,-0.9484,0.9863,29.1779,2.5201,2.3430,36.9334,0.015781,-0.007805,24.2919,-0.006922,-0.016556,27.4915,0.023729,-0.019002,29.1803,0.032448,-0.008331,36.9334,0.00111,0.00036,-0.35004,0.70891,-0.35583,0.00570,-0.00202,-0.00023,-0.35159,0.71000,-0.35309,-0.00351,-0.00261,0.00494,-0.02299,0.00268,0.00483,-0.02299,-1.17867,-0.24924,0.06684,-0.30640,0.31036,0.14911,1.15062,0.24019,0.31882,-0.20448,0.63107,0.53950,0.18143,0.08063,-0.29477,-0.12723,0.07546,-0.29498,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007370,0.000582,0.004187,0.004701,0.004187,0.000126,0.013738,-0.012233,0.000000,0.005207,0.000000,0.000000,0.378345,0.621655,0.000000,0.000000,0.000000,0.005500,-0.004906,0.000000,0.000000
0.0100,0.00037,0.00007,0.48049,1.00000,-0.00006,-0.00067,-0.00008,0.00633,0.00002,0.32518,0.32501,0.00162,0.00483,2,0.03487,0.00162,0.034768,0.03297,-0.8055,-0.0002,-0.2450,0.3767,-1.4812,0.1873,-2.2201,0,0.04900,0.01900,0.1310,0.0654,0.011901,0.042940,0.9342,1.9668,23.5703,1.4289,1.8035,29.2843,-2.4868,0.4208,29.2174,-0.0514,-1.3231,33.7652,-0.011803,-0.015441,23.5594,0.007726,-0.007388,29.2843,0.043275,-0.008917,29.2094,0.018280,-0.012253,33.7652,0.00132,0.00044,-0.35193,0.71214,-0.35737,0.00607,-0.00379,-0.00024,-0.35504,0.71440,-0.35228,-0.00100,-0.00266,0.00611,-0.02719,0.00278,0.00586,-0.02719,1.04723,-0.27976,-0.19473,-0.65631,-0.24314,0.29285,-1.21131,0.19858,0.44727,0.11854,1.05748,0.30288,0.17623,0.05362,-0.16827,-0.13004,0.05158,-0.16831,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007605,0.000591,0.004187,0.004827,0.004187,0.000251,0.014443,-0.012455,0.000000,0.005443,0.000000,0.000000,0.376134,0.623866,0.000000,0.000000,0.000000,0.005696,-0.003515,0.000000,0.000000
0.0150,0.00038,0.00012,0.48048,1.00000,-0.00006,-0.00058,-0.00018,0.00637,0.00005,0.32526,0.32501,0.00134,0.00495,2,0.03500,0.00134,0.034891,0.01958,-0.8663,-0.0004,-0.2636,0.3170,-1.3837,0.5167,-1.6658,0,0.04900,0.01900,0.1475,0.2990,-0.002229,0.036583,-0.9872,0.7431,25.4705,-0.0746,2.2323,25.2422,-0.6834,1.2660,27.9353,-2.0735,4.6874,28.5719,0.022770,-0.008649,25.4637,-0.006398,-0.013781,25.2422,0.008705,-0.019008,27.9325,0.048999,-0.005948,28.5719,0.00239,0.00035,-0.35374,0.71556,-0.35926,0.00646,-0.00944,-0.00013,-0.35740,0.71793,-0.35419,0.00477,-0.00271,0.00696,-0.02873,0.00280,0.00640,-0.02872,0.07295,-0.04511,0.12505,-0.18955,0.43319,0.20443,-0.13472,0.11139,-0.00275,-0.47816,0.18826,0.58954,0.18092,0.03970,-0.07920,-0.13217,0.02374,-0.07958,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.007824,0.001343,0.004187,0.004953,0.004187,0.000377,0.015099,-0.010450,0.000000,0.005124,0.000000,0.000000,0.396075,0.603925,0.000000,0.000000,0.000000,0.006068,-0.000998,0.000000,0.000000
0.0200,0.00038,0.00018,0.48044,1.00000,-0.00001,-0.00050,-0.00018,0.00639,0.00009,0.32529,0.32501,0.00115,0.00508,2,0.03502,0.00115,0.034977,0.01359,-0.5565,-0.0005,-0.1622,0.3141,-0.0726,-0.3361,-1.1614,0,0.04900,0.01900,0.0843,0.5981,0.028145,0.040779,-0.6743,0.0309,28.9528,-0.9887,0.7107,24.0706,-0.3537,1.9602,32.7631,-6.6265,0.4429,18.5087,-0.011108,-0.009188,28.9509,0.023984,-0.009677,24.0706,0.023765,-0.012768,32.7515,0.048999,-0.018999,18.5087,0.00138,0.00009,-0.35541,0.71888,-0.36182,0.00569,-0.00994,-0.00096,-0.35777,0.71968,-0.35839,0.01084,-0.00273,0.00740,-0.02848,0.00271,0.00679,-0.02847,-1.06806,0.22607,-0.60412,-1.16371,-0.42429,0.26722,0.90347,-0.19998,0.61289,-0.16019,0.64890,0.52553,0.20477,0.01923,-0.01954,-0.16699,-0.00035,-0.01979,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006711,0.001471,0.004187,0.005078,0.004187,0.000503,0.011761,-0.010319,0.000000,0.004403,0.000000,0.000000,0.397378,0.602622,0.000000,0.000000,0.000000,0.006464,0.004767,0.000000,0.000000
0.0250,0.00038,0.00024,0.48039,1.00000,0.00002,-0.00045,-0.00010,0.00638,0.00012,0.32528,0.32501,0.00101,0.00520,2,0.03498,0.00101,0.034999,-0.00074,-0.4226,-0.0006,-0.0623,0.3689,0.4769,-0.9541,-0.8648,0,0.04900,0.01900,0.1313,0.2677,0.000217,0.031393,-2.1350,-0.1138,30.2005,-2.0085,0.5153,26.3236,1.7401,2.4518,34.9979,3.2767,4.7344,35.8588,-0.001018,-0.010217,30.1992,-0.003971,-0.019000,26.3236,0.009740,-0.007048,34.9760,0.011479,-0.018999,35.8588,-0.00182,0.00007,-0.35633,0.72080,-0.36434,0.00157,-0.00558,-0.00195,-0.35759,0.72039,-0.36064,0.01189,-0.00269,0.00753,-0.02707,0.00259,0.00710,-0.02707,-0.86296,0.33877,-0.69318,-1.18704,-0.27933,0.24140,1.06816,-0.38682,0.70868,-0.41126,0.34323,0.29117,0.21037,-0.00748,0.01992,-0.18466,0.00566,0.02063,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005605,0.000959,0.004187,0.005204,0.004187,0.000628,0.008443,-0.012105,0.000000,0.004475,0.000000,0.000000,0.379619,0.620381,0.000000,0.000000,0.000000,0.005693,0.010844,0.000000,0.000000
0.0300,0.00038,0.00031,0.48032,1.00000,0.00003,-0.00045,-0.00000,0.00636,0.00016,0.32523,0.32501,0.00091,0.00533,2,0.03487,0.00091,0.034928,-0.01355,-0.0749,-0.0006,-0.0879,0.2681,0.6554,-0.4010,-0.3923,0,0.04900,0.01900,0.7992,0.3280,-0.044768,0.044232,-0.4098,1.1572,31.1183,5.2698,-6.6252,17.6565,-0.1473,0.5418,35.2112,3.6390,5.7182,34.4497,-0.000693,-0.019008,31.1166,-0.049000,-0.006204,17.6565,0.007438,0.002337,35.2039,0.000686,-0.018999,34.4497,-0.00301,0.00009,-0.35687,0.72072,-0.36292,-0.00033,-0.00211,-0.00201,-0.35667,0.71922,-0.36081,0.00642,-0.00250,0.00752,-0.02499,0.00245,0.00735,-0.02498,0.27647,0.18437,-0.16998,-0.94888,-0.10273,0.41497,-0.20736,-0.19700,0.15855,-0.81038,0.22006,-0.14186,0.21699,-0.01450,0.04515,-0.18452,0.00012,0.04567,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005883,0.002171,0.004187,0.005330,0.004187,0.000754,0.009275,-0.008721,0.000000,0.003585,0.000000,0.000000,0.413269,0.586731,0.000000,0.000000,0.000000,0.001566,0.011890,0.000000,0.000000
0.0350,0.00039,0.00040,0.48028,1.00000,0.00004,-0.00044,0.00007,0.00636,0.00024,0.32516,0.32501,0.00089,0.00546,2,0.03477,0.00089,0.034880,-0.00742,0.2496,-0.0005,-0.1156,0.1764,1.2095,-0.2027,0.1515,0,0.04900,0.01900,0.0391,0.0619,0.001638,0.036652,-0.2823,0.8698,33.3601,-0.7200,-0.0197,30.7401,-0.4504,0.2480,36.4814,1.0751,-0.9056,37.8590,0.010443,-0.019008,33.3602,-0.002599,-0.013707,30.7401,-0.006381,0.001536,36.4795,0.003866,0.001187,37.8590,-0.00382,-0.00011,-0.35722,0.72051,-0.36166,-0.00073,0.00003,-0.00198,-0.35572,0.71771,-0.36063,0.00112,-0.00233,0.00744,-0.02255,0.00229,0.00746,-0.02255,-0.53675,0.31800,0.30608,-0.65518,0.37559,0.57326,0.58310,-0.23146,-0.37683,-1.45536,-0.26432,-0.25283,0.23206,-0.02264,0.05893,-0.19206,-0.00634,0.05949,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006187,0.003293,0.004187,0.005455,0.004187,0.000880,0.010188,-0.005607,0.000000,0.002946,0.000000,0.000000,0.444241,0.555759,0.000000,0.000000,0.000000,-0.000327,0.006423,0.000000,0.000000
0.0400,0.00039,0.00049,0.48026,1.00000,0.00004,-0.00042,0.00010,0.00635,0.00032,0.32511,0.32501,0.00088,0.00558,2,0.03471,0.00088,0.034852,-0.00456,0.1067,-0.0005,-0.1111,0.1941,0.4827,-0.0691,-0.0319,0,0.04900,0.01900,0.0238,0.0327,0.015444,0.034345,-1.1808,1.4996,30.9474,-0.4797,-0.0642,33.9512,0.4765,-0.2695,34.2878,0.0378,-0.7578,38.6828,0.015063,0.002868,30.9476,0.011206,-0.015973,33.9512,-0.004851,-0.016283,34.2878,-0.007018,0.005245,38.6828,-0.00444,-0.00039,-0.35733,0.72003,-0.36064,-0.00062,0.00142,-0.00212,-0.35504,0.71650,-0.36040,-0.00197,-0.00218,0.00732,-0.01999,0.00216,0.00746,-0.01999,0.02130,-0.57239,0.12393,-0.62117,0.40738,-0.13697,0.08528,0.59040,-0.07859,-1.12941,-0.11922,0.44935,0.21223,-0.01253,0.06664,-0.17772,-0.00357,0.06686,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006136,0.003208,0.004187,0.005581,0.004187,0.001006,0.010034,-0.006112,0.000000,0.003071,0.000000,0.000000,0.439214,0.560786,0.000000,0.000000,0.000000,-0.000730,0.001119,0.000000,0.000000
0.0450,0.00038,0.00060,0.48027,1.00000,0.00003,-0.00041,0.00012,0.00634,0.00040,0.32509,0.32501,0.00085,0.00571,2,0.03468,0.00085,0.034836,-0.00230,0.0410,-0.0005,-0.1024,0.1986,0.1295,0.0806,-0.0993,0,0.04900,0.01900,0.1116,0.0748,0.020443,0.053283,0.4538,1.3305,30.1443,-1.4893,1.4636,31.2000,-1.1026,-0.0719,32.8520,0.8089,-1.4021,36.0715,-0.005314,-0.011322,30.1460,0.016120,0.002990,31.2000,0.016299,-0.002554,32.8512,-0.005241,-0.011493,36.0715,-0.00499,-0.00074,-0.35733,0.71952,-0.35994,-0.00018,0.00240,-0.00239,-0.35464,0.71566,-0.36014,-0.00348,-0.00206,0.00718,-0.01747,0.00204,0.00740,-0.01747,-0.60222,-0.08948,-0.07454,-0.94162,-0.09806,0.30166,0.53828,0.09598,0.16689,-0.63520,0.45427,0.03018,0.20229,-0.00776,0.06852,-0.17127,-0.00265,0.06854,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.006036,0.003269,0.004187,0.005707,0.004187,0.001131,0.009736,-0.006182,0.000000,0.003060,0.000000,0.000000,0.438517,0.561483,0.000000,0.000000,0.000000,-0.000620,-0.001973,0.000000,0.000000
0.0500,0.00038,0.00071,0.48028,1.00000,0.00002,-0.00039,0.00012,0.00634,0.00048,0.32509,0.32501,0.00081,0.00583,2,0.03468,0.00081,0.034828,-0.00122,-0.0119,-0.0005,-0.0951,0.2002,-0.0587,0.1317,-0.1279,0,0.04900,0.01900,0.0510,0.0479,0.000340,0.040421,0.5739,-0.6841,28.5669,0.1429,0.9260,30.6202,-1.1765,1.9533,33.2369,-0.7278,-0.6609,34.2387,-0.001191,0.010436,28.5671,-0.003932,-0.009957,30.6202,0.012929,-0.016838,33.2476,0.014822,-0.000065,34.2387,-0.00545,-0.00110,-0.35730,0.71910,-0.35951,0.00029,0.00309,-0.00277,-0.35450,0.71517,-0.35987,-0.00377,-0.00196,0.00703,-0.01506,0.00195,0.00730,-0.01506,-0.13082,-0.05774,0.06454,-0.73830,0.02723,-0.25468,0.04871,-0.06641,0.04018,-0.75187,0.34323,0.47147,0.19632,-0.00498,0.06666,-0.16878,-0.00277,0.06656,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005953,0.003360,0.004187,0.005832,0.004187,0.001257,0.009485,-0.006159,0.000000,0.003038,0.000000,0.000000,0.438751,0.561249,0.000000,0.000000,0.000000,-0.000179,-0.003482,0.000000,0.000000
0.0550,0.00036,0.00083,0.48028,1.00000,0.00001,-0.00037,0.00012,0.00632,0.00056,0.32509,0.32501,0.00077,0.00596,2,0.03468,0.00077,0.034824,-0.00056,-0.0370,-0.0004,-0.0872,0.1941,-0.1282,0.1782,-0.1257,0,0.04900,0.01900,0.0327,0.0745,0.004125,0.059979,-0.6319,0.3294,28.5182,0.3519,-0.4430,28.8804,0.0792,0.9007,32.8450,-0.9370,1.2104,34.2631,-0.019515,-0.000640,28.5175,-0.000248,0.009620,28.8804,0.028727,-0.006469,32.8502,0.012040,-0.013854,34.2631,-0.00577,-0.00147,-0.35727,0.71878,-0.35931,0.00071,0.00356,-0.00324,-0.35455,0.71496,-0.35959,-0.00324,-0.00187,0.00687,-0.01278,0.00187,0.00717,-0.01278,-0.12845,-0.07896,-0.80651,-1.47028,-0.60064,0.02015,0.16796,-0.04205,0.90363,0.00679,0.95863,0.19452,0.19369,-0.00404,0.06340,-0.16850,-0.00323,0.06330,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005862,0.003539,0.004187,0.005958,0.004187,0.001383,0.009213,-0.005874,0.000000,0.002942,0.000000,0.000000,0.441589,0.558411,0.000000,0.000000,0.000000,0.000287,-0.003768,0.000000,0.000000
0.0600,0.00035,0.00095,0.48029,1.00000,-0.00001,-0.00035,0.00012,0.00631,0.00064,0.32510,0.32501,0.00074,0.00608,2,0.03469,0.00074,0.034822,-0.00016,-0.0525,-0.0004,-0.0795,0.1860,-0.1481,0.1964,-0.1138,0,0.04900,0.01900,0.0516,0.0314,-0.014093,0.049928,-0.7120,0.5123,29.9110,-0.8325,0.3200,28.8137,0.2079,0.6663,31.3260,0.2807,0.5674,33.6057,0.012083,0.009092,29.9103,-0.018416,-0.000532,28.8137,0.000066,-0.019003,31.3297,0.027613,-0.005092,33.6057,-0.00593,-0.00186,-0.35729,0.71857,-0.35921,0.00108,0.00384,-0.00377,-0.35473,0.71498,-0.35939,-0.00210,-0.00179,0.00670,-0.01063,0.00180,0.00702,-0.01062,0.17949,-0.42625,0.08757,-0.61485,0.30382,-0.27451,-0.12812,0.42679,-0.00749,-0.85143,0.02673,0.60133,0.19234,-0.00398,0.06007,-0.16921,-0.00378,0.05998,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005773,0.003741,0.004187,0.006084,0.004187,0.001508,0.008945,-0.005521,0.000000,0.002829,0.000000,0.000000,0.445095,0.554905,0.000000,0.000000,0.000000,0.000713,-0.003235,0.000000,0.000000
0.0650,0.00032,0.00108,0.48030,1.00000,-0.00002,-0.00034,0.00011,0.00629,0.00073,0.32511,0.32501,0.00071,0.00621,2,0.03470,0.00071,0.034822,0.00005,-0.0621,-0.0004,-0.0726,0.1772,-0.1420,0.1877,-0.0982,0,0.04900,0.01900,0.0529,0.0161,0.016316,0.058851,-0.3632,1.1726,30.2309,-0.6798,0.6749,30.1660,-0.0968,-0.0494,31.0447,0.1965,0.2369,31.8749,0.004657,-0.009651,30.2313,0.011941,0.008563,30.1660,0.006457,-0.000794,31.0439,0.000256,-0.017233,31.8749,-0.00597,-0.00229,-0.35737,0.71845,-0.35914,0.00157,0.00396,-0.00433,-0.35500,0.71515,-0.35927,-0.00073,-0.00172,0.00651,-0.00859,0.00174,0.00685,-0.00858,0.12497,-0.08310,-0.03522,-0.78326,0.11075,0.26230,-0.10820,0.10274,0.10262,-0.69227,0.19671,0.07153,0.19162,-0.00421,0.05682,-0.17045,-0.00446,0.05675,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005690,0.003950,0.004187,0.006209,0.004187,0.001634,0.008698,-0.005144,0.000000,0.002714,0.000000,0.000000,0.448842,0.551158,0.000000,0.000000,0.000000,0.001076,-0.002095,0.000000,0.000000
0.0700,0.00030,0.00122,0.48030,1.00000,-0.00003,-0.00033,0.00011,0.00628,0.00082,0.32511,0.32501,0.00068,0.00634,2,0.03472,0.00068,0.034823,0.00018,-0.0671,-0.0004,-0.0657,0.1677,-0.1250,0.1717,-0.0841,0,0.04900,0.01900,0.0580,0.0045,0.009010,0.041399,-0.2138,0.5005,30.3645,-0.3778,0.9900,30.4410,-0.2028,0.5621,31.0188,-0.0766,-0.0383,31.4399,0.012622,-0.008377,30.3646,0.004734,-0.008929,30.4410,-0.002277,-0.001034,31.0212,0.006404,-0.000769,31.4399,-0.00598,-0.00277,-0.35749,0.71840,-0.35909,0.00229,0.00404,-0.00488,-0.35531,0.71542,-0.35923,0.00061,-0.00165,0.00632,-0.00666,0.00168,0.00667,-0.00665,-0.02605,0.10611,0.25070,-0.51628,0.36486,0.25638,0.02955,-0.09092,-0.19704,-0.97727,-0.08429,0.05657,0.19124,-0.00457,0.05367,-0.17181,-0.00505,0.05361,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005609,0.004170,0.004187,0.006335,0.004187,0.001760,0.008454,-0.004737,0.000000,0.002591,0.000000,0.000000,0.452893,0.547107,0.000000,0.000000,0.000000,0.001575,-0.000731,0.000000,0.000000
0.0750,0.00027,0.00136,0.48030,1.00000,-0.00003,-0.00031,0.00010,0.00626,0.00091,0.32512,0.32501,0.00065,0.00646,2,0.03473,0.00065,0.034825,0.00063,-0.0704,-0.0004,-0.0594,0.1574,-0.1051,0.1463,-0.0724,0,0.04900,0.01900,0.0241,0.0328,0.016719,0.042314,-0.3524,0.4640,29.8156,-0.1748,0.4049,30.5524,-0.0242,0.5334,31.6941,-0.2275,0.5720,31.2871,0.010506,-0.019003,29.8154,0.012437,-0.007967,30.5524,-0.000714,0.011786,31.6961,-0.002069,-0.001060,31.2871,-0.00592,-0.00330,-0.35767,0.71843,-0.35903,0.00331,0.00406,-0.00543,-0.35565,0.71574,-0.35923,0.00175,-0.00159,0.00612,-0.00484,0.00162,0.00648,-0.00483,0.15954,0.43548,0.14072,-0.58923,0.28381,0.57417,-0.14137,-0.48732,-0.09652,-0.92045,-0.02375,-0.34971,0.19097,-0.00493,0.05063,-0.17313,-0.00555,0.05059,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005533,0.004399,0.004187,0.006461,0.004187,0.001885,0.008225,-0.004301,0.000000,0.002463,0.000000,0.000000,0.457223,0.542777,0.000000,0.000000,0.000000,0.002286,0.000613,0.000000,0.000000
0.0800,0.00024,0.00150,0.48030,1.00000,-0.00004,-0.00030,0.00010,0.00624,0.00101,0.32512,0.32501,0.00063,0.00659,2,0.03475,0.00063,0.034828,0.00051,-0.0816,-0.0004,-0.0537,0.1476,-0.0948,0.1086,-0.0651,0,0.04900,0.01900,0.0201,0.0383,0.014509,0.032420,0.1866,-0.0403,29.8418,-0.3084,0.1909,30.1016,-0.5270,0.9759,31.7334,-0.0383,0.7318,31.8588,-0.003677,-0.003351,29.8420,0.010282,-0.017869,30.1016,0.011834,-0.002118,31.7367,-0.000635,0.011047,31.8588,-0.00573,-0.00386,-0.35787,0.71850,-0.35901,0.00438,0.00394,-0.00598,-0.35602,0.71608,-0.35922,0.00280,-0.00154,0.00592,-0.00313,0.00157,0.00629,-0.00312,0.49409,0.14341,-0.13133,-0.91731,-0.09624,0.13548,-0.52699,-0.19849,0.16268,-0.60990,0.33384,0.06637,0.19050,-0.00534,0.04772,-0.17418,-0.00569,0.04767,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005463,0.004622,0.004187,0.006586,0.004187,0.002011,0.008016,-0.003881,0.000000,0.002342,0.000000,0.000000,0.461405,0.538595,0.000000,0.000000,0.000000,0.003310,0.001748,0.000000,0.000000
0.0850,0.00021,0.00165,0.48030,1.00000,-0.00004,-0.00029,0.00009,0.00621,0.00111,0.32513,0.32501,0.00061,0.00671,2,0.03476,0.00061,0.034830,0.00041,-0.0791,-0.0004,-0.0481,0.1362,-0.0727,0.0883,-0.0578,0,0.04900,0.01900,0.0102,0.0512,0.000923,0.046556,0.0246,0.7647,30.3566,0.1270,0.1333,29.9604,-0.3293,0.0984,31.3586,-0.4551,0.8667,31.8583,0.012543,-0.008433,30.3563,-0.003384,-0.003808,29.9604,-0.004392,0.002456,31.3587,0.011509,-0.001885,31.8583,-0.00551,-0.00442,-0.35808,0.71859,-0.35898,0.00538,0.00377,-0.00653,-0.35639,0.71643,-0.35921,0.00383,-0.00149,0.00571,-0.00151,0.00152,0.00608,-0.00150,0.13643,0.03207,0.31547,-0.47304,0.38029,0.25847,-0.15148,-0.05156,-0.29582,-1.07567,-0.16282,-0.04625,0.19044,-0.00559,0.04489,-0.17530,-0.00607,0.04486,6.000,14.000,6.000,14.000,6.000,6.000,6.000,14.000,6.000,14.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,6.000,0.005393,0.004866,0.004187,0.006712,0.004187,0.002137,0.007807,-0.003400,0.000000,0.002205,0.000000,0.000000,0.466185,0.533815,0.000000,0.000000,0.000000,0.004379,0.002804,0.000000,0.000000
